Venue,Rank
4OR,B
AACE International Transactions,B
Abacus,A
Academia Economic Papers,C
Academy of Management Annals,A*
Academy of Management Discoveries,A
Academy of Management Journal,A*
Academy of Management Learning and Education,A*
Academy of Management Perspectives,A
Academy of Management Review,A*
Academy of Marketing Studies Journal,B
Accident Analysis and Prevention,A*
Accountancy Business and the Public Interest,B
Accounting Accountability and Performance,C
Accounting and Business Research,A
Accounting and Finance,A
Accounting and Taxation,C
Accounting and the Public Interest,B
Accounting Auditing and Accountability Journal,A*
Accounting Education,A
Accounting Educators Journal,B
Accounting Forum,B
Accounting Historians Journal,B
Accounting History,A
Accounting History Review,B
Accounting Horizons,A
Accounting in Europe,A
Accounting Perspectives,B
Accounting Research Journal,B
"Accounting, Economics and Law – A Convivium",B
"Accounting, Finance and Governance Review",C
"Accounting, Organizations and Society",A*
ACM Transactions on Computer-Human Interaction,A*
ACM Transactions on Computing Education,C
ACM Transactions on Information Systems,C
ACM Transactions on Modeling and Computer Simulation,B
Acta Oeconomica,C
Acta Psychologica,A
Acta Turistica,C
Acta Universitatis Bohemiae Meridionalis,C
Action Learning and Action Research Journal,C
Action Learning Research and Practice,C
Active Learning in Higher Education,B
Actuarial Research Clearinghouse,C
Adelaide Law Review,A
Administration and Society,B
Administrative Science Quarterly,A*
Administrative Theory and Praxis,B
Advances and Applications in Statistics,C
Advances in Accounting,A
Advances in Accounting Behavioral Research,A
Advances in Accounting Education: teaching and curriculum innovations,C
Advances in Applied Probability,A
Advances in Consumer Research,B
Advances in Developing Human Resources,C
Advances in Environmental Accounting and Management,B
Advances in Experimental Social Psychology,A*
Advances in Hospitality and Leisure,C
Advances in International Management,C
Advances in International Marketing,C
Advances in Management Accounting,A
Advances in Public Interest Accounting,C
Advances in Strategic Management,C
Advances in Taxation,B
Advertising & Society Review,C
Afaq Iqtisadiyyah,C
Africa Development/Afrique et Developpement,C
African Development Review,C
African Economic History,C
"African Journal of Accounting, Auditing and Finance",C
"African Journal of Accounting, Economics, Finance and Banking Research",C
African Journal of Agricultural and Resource Economics,B
African Journal of Business and Economic Research,C
African Journal of Economic and Management Studies,C
African Journal of Economic and Sustainable Development,C
African Review of Economics and Finance,C
Afrika Spectrum,C
Afro-Asian Journal of Finance and Accounting,C
AgBioForum,C
Agenda: a journal of policy analysis and reform,B
Agribusiness: An international journal,C
Agricultural and Resource Economics Review,B
Agricultural Economics,A
Agricultural Economics and Rural Development,C
Agricultural Economics Research Review,C
Agricultural Economics Review,C
Agricultural Finance Review,C
Agriculture and Human Values,B
Air and Space Law,B
AIS Educator Journal,C
AIS Transactions on Human-Computer Interaction,A
Akron Tax Journal,B
Alberta Law Review,B
Algorithmic Finance,B
ALI - ABA Business Law Course Materials Journal,C
Aligarh Journal of Statistics,C
Alternative Law Journal,B
"Alternatives: global, local, political",A
American Bankruptcy Institute Law Review,B
American Bankruptcy Law Journal,B
American Behavioral Scientist,B
American Business Law Journal,A
American Business Review,A
American Economic Journal: Applied Economics,A*
American Economic Journal: Economic Policy,A*
American Economic Journal: Macroeconomics,A*
