Venue,Rank
Accounting Review,4*
"Accounting, Organizations and Society",4*
Journal of Accounting and Economics,4*
Journal of Accounting Research,4*
American Economic Review,4*
Annals of Statistics,4*
Econometrica,4*
Journal of Political Economy,4*
Quarterly Journal of Economics,4*
Review of Economic Studies,4*
Academy of Management Annals,4*
Academy of Management Journal,4*
Academy of Management Review,4*
Administrative Science Quarterly,4*
Journal of Management,4*
Journal of Finance,4*
Journal of Financial Economics,4*
Review of Financial Studies,4*
Human Resource Management Journal (UK),4*
Journal of International Business Studies,4*
Information Systems Research,4*
Journal of the Association for Information Systems,4*
MIS Quarterly: Management Information Systems,4*
Research Policy,4*
Academy of Management Learning and Education,4*
Journal of Consumer Psychology,4*
Journal of Consumer Research,4*
Journal of Marketing,4*
Journal of Marketing Research,4*
Journal of the Academy of Marketing Science,4*
Marketing Science,4*
Journal of Operations Management,4*
Management Science,4*
Operations Research,4*
Organization Science,4*
Psychological Science,4*
Journal of Applied Psychology,4*
Personnel Psychology,4*
Public Administration Review,4*
American Journal of Sociology,4*
American Sociological Review,4*
Annual Review of Sociology,4*
Strategic Management Journal,4*
Entrepreneurship Theory and Practice,4*
Journal of Business Venturing,4*
Contemporary Accounting Research,4
Review of Accounting Studies,4
Business History,4
Business History Review,4
Economic History Review,4
American Economic Journal: Applied Economics,4
American Economic Journal: Macroeconomics,4
Biometrika,4
Econometric Theory,4
Economic Journal,4
International Economic Review,4
Journal of Business and Economic Statistics,4
Journal of Econometrics,4
Journal of Economic Literature,4
Journal of Economic Perspectives,4
Journal of Economic Theory,4
Journal of International Economics,4
Journal of Labor Economics,4
Journal of Monetary Economics,4
Journal of the American Statistical Association,4
Journal of the European Economic Association,4
Journal of the Royal Statistical Society. Series B: Statistical Methodology,4
Quantitative Economics,4
RAND Journal of Economics,4
Review of Economics and Statistics,4
Theoretical Economics,4
Strategic Entrepreneurship Journal,4
Academy of Management Perspectives,4
British Journal of Management,4
Journal of Management Studies,4
Journal of Corporate Finance,4
Journal of Financial and Quantitative Analysis,4
Journal of Financial Intermediation,4
"Journal of Money, Credit and Banking",4
Review of Finance,4
British Journal of Industrial Relations,4
Human Resource Management (USA),4
Industrial Relations,4
"Work, Employment and Society",4
Journal of World Business,4
European Journal of Information Systems,4
Information Systems Journal,4
Journal of Information Technology,4
Journal of Management Information Systems,4
Journal of Strategic Information Systems,4
Journal of Product Innovation Management,4
International Journal of Research in Marketing,4
Journal of Retailing,4
International Journal of Operations and Production Management,4
Journal of Supply Chain Management,4
Production and Operations Management,4
European Journal of Operational Research,4
IEEE Transactions on Evolutionary Computation,4
Mathematical Programming,4
Human Relations,4
Leadership Quarterly,4
Organization Studies,4
Organizational Research Methods,4
Annual Review of Psychology,4
Behavioral and Brain Sciences,4
Cognition,4
Current Directions in Psychological Science,4
Journal of Experimental Psychology: Applied,4
Journal of Experimental Psychology: General,4
Journal of Experimental Social Psychology,4
Journal of Personality and Social Psychology,4
Personality and Social Psychology Bulletin,4
Psychological Bulletin,4
Psychological Review,4
Journal of Occupational and Organizational Psychology,4
Journal of Occupational Health Psychology,4
Journal of Organizational Behavior,4
Journal of Vocational Behavior,4
Organizational Behavior and Human Decision Processes,4
Work and Stress,4
Governance,4
Journal of Public Administration Research and Theory,4
Public Administration,4
Public Management Review,4
Economic Geography,4
Journal of Economic Geography,4
Regional Studies,4
Annals of Tourism Research,4
Journal of Service Research,4
Journal of Travel Research,4
Tourism Management,4
"Transportation Research, Series B: Methodological",4
Environment and Planning D: Society and Space,4
Risk Analysis,4
Social Science and Medicine,4
Sociology,4
Global Strategy Journal,4
Business Ethics Quarterly,3
Sociology of Health and Illness,3
Socio-Economic Review,4
Long Range Planning,4
Abacus,3
Accounting and Business Research,3
Accounting Forum,3
Accounting Horizons,3
"Accounting, Auditing and Accountability Journal",3
Auditing,3
Behavioral Research in Accounting,3
British Accounting Review,3
British Tax Review,3
Critical Perspectives on Accounting,3
European Accounting Review,3
Financial Accountability and Management,3
Foundations and Trends in Accounting,3
International Journal of Accounting,3
Journal of Accounting and Public Policy,3
Journal of Accounting Literature,3
"Journal of Accounting, Auditing and Finance",3
Journal of Business Finance and Accounting,3
"Journal of International Accounting, Auditing and Taxation",3
Journal of the American Taxation Association,3
Management Accounting Research,3
Enterprise and Society,3
European Review of Economic History,3
Explorations in Economic History,3
Journal of Economic History,3
American Economic Journal: Economic Policy,3
American Economic Journal: Microeconomics,3
American Economic Review: Insights,3
American Journal of Agricultural Economics,3
Annual Review of Economics,3
Brookings Papers on Economic Activity,3
Cambridge Journal of Economics,3
Canadian Journal of Economics,3
Computational Statistics and Data Analysis,3
Ecological Economics,3
Econometric Reviews,3
Econometrics Journal,3
Economic Development and Cultural Change,3
Economic Inquiry,3
Economic Policy,3
Economic Theory,3
Economica,3
Economics Letters,3
Energy Economics,3
Environmental and Resource Economics,3
European Economic Review,3
European Review of Agricultural Economics,3
Experimental Economics,3
Games and Economic Behavior,3
Health Economics (United Kingdom),3
IMF Economic Review,3
International Journal of Industrial Organization,3
International Statistical Review,3
Journal of Agricultural Economics,3
Journal of Applied Econometrics,3
Journal of Comparative Economics,3
Journal of Computational and Graphical Statistics,3
Journal of Development Economics,3
Journal of Economic Behavior and Organization,3
Journal of Economic Dynamics and Control,3
Journal of Economic Growth,3
Journal of Environmental Economics and Management,3
Journal of Health Economics,3
Journal of Human Capital,3
Journal of Human Resources,3
Journal of Industrial Economics,3
Journal of Institutional Economics,3
Journal of Law and Economics,3
"Journal of Law, Economics, and Organization",3
Journal of Legal Studies,3
Journal of Mathematical Economics,3
Journal of Multivariate Analysis,3
Journal of Population Economics,3
Journal of Public Economics,3
Journal of Risk and Uncertainty,3
Journal of the Association of Environmental and Resource Economists,3
Journal of the Royal Statistical Society. Series A: Statistics in Society,3
Journal of the Royal Statistical Society. Series C: Applied Statistics,3
Journal of Time Series Analysis,3
Journal of Urban Economics,3
Labour Economics,3
Land Economics,3
Oxford Bulletin of Economics and Statistics,3
Oxford Economic Papers,3
