Venue,Rank
ACM Conference on Computer and Communications Security|CCS,A
"ACM International Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication|SIGCOMM",A
ACM International Conference on Mobile Computing and Networking|MobiCom,A
ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming|PPoPP,A
ACM Symposium on Theory of Computing|STOC,A
ACM Transactions on Architecture and Code Optimization|TACO,A
ACM Transactions on Computer Systems|TOCS,A
ACM Transactions on Database Systems|TODS,A
ACM Transactions on Information Systems|TOIS,A
ACM Transactions on Storage|TOS,A
ACM-SIAM Symposium on Discrete Algorithms|SODA,A
ACM/IEEE Symposium on Logic in Computer Science|LICS,A
Artificial Intelligence|AI,A
Conference on Web and Internet Economics|WINE,A
Design Automation Conference|DAC,A
European Conference on Computer Systems|EuroSys,A
IEEE Annual Symposium on Foundations of Computer Science|FOCS,A
IEEE International Conference on Computer Communications|INFOCOM,A
IEEE International Symposium on High Performance Computer Architecture|HPCA,A
IEEE Journal on Selected Areas in Communications|JSAC,A
IEEE Real-Time Systems Symposium|RTSS,A
IEEE Symposium on Security and Privacy|S&P,A
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems|TCAD,A
IEEE Transactions on Computers|TC,A
IEEE Transactions on Dependable and Secure Computing|TDSC,A
IEEE Transactions on Information Forensics and Security|TIFS,A
IEEE Transactions on Information Theory|TIT,A
IEEE Transactions on Knowledge and Data Engineering|TKDE,A
IEEE Transactions on Mobile Computing|TMC,A
IEEE Transactions on Parallel and Distributed Systems|TPDS,A
IEEE Transactions on Pattern Analysis and Machine Intelligence|TPAMI,A
IEEE/ACM International Symposium on Microarchitecture|MICRO,A
IEEE/ACM Transactions on Networking|TON,A
Information and Computation|IANDC,A
"International Conference for High Performance Computing, Networking, Storage, and Analysis|SC",A
International Conference on Architectural Support for Programming Languages ​​and Operating Systems|ASPLOS,A
International Conference on Computer Aided Verification|CAV,A
International Conference on the Theory and Applications of Cryptographic Techniques|EUROCRYPT,A
International Cryptology Conference|CRYPTO,A
International Journal of Computer Vision|IJCV,A
International Symposium on Computer Architecture|ISCA,A
International World Wide Web Conference|WWW,A
Journal of Cryptology,A
Journal of Machine Learning Research|JMLR,A
Journal of the ACM|JACM,A
Network and Distributed System Security Symposium|NDSS,A
Proceedings of the IEEE|Proc. IEEE,A
Science China Information Sciences|SCIS,A
SIAM Journal on Computing|SICOMP,A
Symposium on Network System Design and Implementation|NSDI,A
The VLDB Journal|VLDBJ,A
USENIX Annual Technical Conference|USENIX ATC,A
USENIX Conference on File and Storage Technologies|FAST,A
USENIX Security Symposium|USENIX Security,A
ACM Conference on Embedded Networked Sensor Systems|SenSys,B
ACM International Conference on emerging Networking EXperiments and Technologies|CoNEXT,B
"ACM International Conference on Mobile Systems, Applications, and Services|MobiSys",B
ACM Internet Measurement Conference|IMC,B
ACM Symposium on Cloud Computing|SOCC,B
ACM Symposium on Parallelism in Algorithms and Architectures|SPAA,B
ACM Symposium on Principles of Distributed Computing|PODC,B
ACM Transactions on Algorithms|TALG,B
ACM Transactions on Applied Perception|TAP,B
ACM Transactions on Autonomous and Adaptive Systems|TAAS,B
ACM Transactions on Computational Logic|TOCL,B
ACM Transactions on Design Automation of Electronic Systems|TODAES,B
ACM Transactions on Embedded Computing Systems|TECS,B
ACM Transactions on Internet Technology|TOIT,B
ACM Transactions on Knowledge Discovery from Data|TKDD,B
ACM Transactions on Mathematical Software|TOMS,B
"ACM Transactions on Multimedia Computing, Communications and Applications|TOMM",B
ACM Transactions on Privacy and Security|TOPS,B
ACM Transactions on Reconfigurable Technology and Systems|TRETS,B
ACM Transactions on Sensor Networks|TOSN,B
ACM Transactions on the Web|TWEB,B
ACM/SIGDA International Symposium on Field-Programmable Gate Arrays|FPGA,B
Advanced Engineering Informatics|AEI,B
Algorithmica,B
Annual Computer Security Applications Conference|ACSAC,B
Annual International Conference on Research in Computational Molecular Biology|RECOMB,B
Annual International Conference on the Theory and Application of Cryptology and Information Security|ASIACRYPT,B
Annual Meeting of the Cognitive Science Society|CogSci,B
Autonomous Agents and Multi-Agent Systems|AAMAS,B
Bioinformatics,B
Briefings in Bioinformatics,B
Cognition,B
Computational complexity|CC,B
Computational Linguistics,B
Computer Networks|CN,B
Computer Vision and Image Understanding|CVIU,B
Computers & Security,B
