(GIO) Human Resource Development International,C
- JEC Entrepreneurial Business and Economics Review: EBER,D
4OR,C
Abacus,B
Academy of Management Annals,A
Academy of Management Discoveries,A
Academy of Management Journal,A+
Academy of Management Learning & Education,B
Academy of Management Perspectives,A
Academy of Management Review,A+
Accounting and Business Research,B
Accounting and Finance,B
Accounting and the Public Interest,C
Accounting Horizons,B
Accounting in Europe,C
Accounting Review,A+
Accounting, Auditing & Accountability Journal,A
Accounting, Organizations and Society,A
ACM Computing Surveys,A
ACM SIGMIS Database: The DATA BASE for Advances in Information Systems|ACM SIGMIS Database,B
ACM Transactions on Computer-Human Interaction,B
ACM Transactions on Human-Robot Interaction,B
ACM Transactions on Information Systems,B
ACM Transactions on Interactive Intelligent Systems,B
ACM Transactions on Management Information Systems,B
ACM Transactions on Software Engineering and Methodology,B
Action Research,C
Administration & Society,B
Administrative Science Quarterly,A+
Advances in Accounting,C
Advances in Industrial and Labor Relations,C
Advances in Strategic Management,B
Advances of Applied Energy,B
Africa Journal of Management,C
AI & Society: Knowledge, Culture and Communication|AI & Society,C
AIS Transaction on Enterprise Systems,C
AIS Transactions on Human-Computer Interaction,B
AIS Transactions on Replication Research,C
American economic journal: applied economics|American economic journal,A
American Economic Journal: Economic Policy|American Economic Journal,A
American economic journal: macroeconomics|American economic journal,A
American economic journal: microeconomics|American economic journal,A
American Economic Review: Insights|American Economic Review,A+
American Economic Review: Insights|American Economic Review,A
American Journal of Health Economics,B
AMS Review,B
and Practice Health Economics Review,C
Annals of Operations Research,B
Annals of Tourism Research,C
Annual Review of Financial Economics,B
Annual Review of Organizational Psychology and Organizational Behavior,A
Annual Reviews in Control,C
Appetite,B
Applied Economics,C
Applied Energy,B
Applied Financial Economics,C
Applied Financial Economics Letters,C
Applied Health Economics and Health Policy,B
Applied Mathematical Finance,C
Applied Mathematical Modelling,B
Applied Psychology : An International Review|Applied Psychology,B
Arbeit : Zeitschrift für Arbeitsforschung, Arbeitsgestaltung und Arbeitspolitik|Arbeit,C
Artificial Intelligence,B
Asia Pacific Business Review,C
Asia Pacific Journal of Human Resources,C
Asia Pacific Journal of Innovation and Entrepreneurship,D
Asia Pacific Journal of Management,B
Asia Pacific Journal of Marketing and Logistics,C
Asia-Pacific Journal of Operational Research,C
Asian Business & Management,C
Asian Journal of Technology Innovation,D
ASTIN Bulletin,C
Australasian Marketing Journal,C
Australian Journal of Information Systems,C
Australian Journal of Management,C
Australian Journal of Public Administration,C
Baltic Journal of Management,C
Bank Accounting & Finance (eingestellt 2010)|Bank Accounting & Finance,D
BankArchiv: Zeitschrift für das gesamte Bank- und Börsenwesen|BankArchiv,D
Bankhistorisches Archiv,D
Behavior Research Methods,B
Behavioral Public Policy,B
Behavioral Research in Accounting,B
Behaviour & Information Technology,B
Betriebswirtschaftliche Forschung und Praxis : BFuP|Betriebswirtschaftliche Forschung und Praxis,C
Big Data & Society,B
Biomass and Bioenergy,B
BIT Banking and Information Technology,D
BKR - Zeitschrift für Bank- und Kapitalmarktrecht,D
BMC Health Services Research,C
BMJ Open,C
British Food Journal,B
British Journal of Healthcare Management,C
British Journal of Industrial Relations,A
British Journal of Management,B
Business & Information Systems Engineering,B
Business & Society,A
Business and Society Review,B
Business Ethics Quarterly,A
Business ethics, the environment & responsibility,B
Business Ethics: A European Review|Business Ethics,B
Business Horizons,B
Business Process Management Journal,C
Business Research,B
Business Research Quarterly,B
Business Strategy and Development,B
Business Strategy and the Environment,B
California Management Review,B
Canadian Journal of Administrative Sciences,C
Canadian Journal of Economics - Revue Canadienne d'Économique,B
Career Development International,C
Career Development Quarterly,C
Central European Journal of Operations Research : CEJOR|Central European Journal of Operations Research,C
Circular Economy and Sustainability,C
Cleaner and Responsible Consumption,C
Cleaner logistics and supply chain,C
Communications of the ACM,B
Communications of the Association for Information Systems,B
Computational Management Science,B
Computer,B
Computer Networks,C
Computer Supported Cooperative Work,B
Computers & chemical engineering,B
Computers & Education,B
Computers & Operations Research,B
Computers & Security,B
Computers and Industrial Engineering,B
Computers in human behavior,B
Computers in Industry,B
Consumer Psychology Review,C
Consumption, Markets and Culture,C
Contemporary Accounting Research,A
Controlling & Management Review,C
Controlling : Zeitschrift für erfolgsorientierte Unternehmenssteuerung|Controlling,D
Cornell Hospitality Quarterly,C
Corporate Governance : An International Review|Corporate Governance,B
Corporate Governance: The International Journal of Business in Society|Corporate Governance,C
Corporate Ownership and Control,C
Corporate Social Responsibility and Environmental Management,B
Creativity and Innovation Management,B
Credit and Capital Markets - Kredit und Kapital,C
Critical Finance Review,A
Critical Perspectives on International Business,C
Cross Cultural & Strategic Management,C
